x0: f=5.800000e+00, gnorm=1.251693e+02
Iteration 0: alp=9.765625e-04, f=4.309752e-01, gnorm=3.098557e+01
Iteration 1: alp=9.765625e-04, f=1.968942e-02, gnorm=4.168659e+00
Iteration 2: alp=9.765625e-04, f=1.261524e-02, gnorm=6.946955e-01
Iteration 3: alp=9.765625e-04, f=1.241277e-02, gnorm=1.437251e-01
Iteration 4: alp=1.953125e-03, f=1.240037e-02, gnorm=1.728842e-01
Iteration 5: alp=1.953125e-03, f=1.239089e-02, gnorm=2.146001e-01
Iteration 6: alp=1.953125e-03, f=1.238654e-02, gnorm=2.725918e-01
Iteration 7: alp=9.765625e-04, f=1.235138e-02, gnorm=1.001003e-01
Iteration 8: alp=7.812500e-03, f=1.233525e-02, gnorm=3.545397e-01
Iteration 9: alp=9.765625e-04, f=1.227902e-02, gnorm=1.062308e-01
Iteration 10: alp=3.906250e-03, f=1.226235e-02, gnorm=2.197770e-01
Iteration 11: alp=1.953125e-03, f=1.225879e-02, gnorm=2.794860e-01
Iteration 12: alp=9.765625e-04, f=1.222211e-02, gnorm=1.001410e-01
Iteration 13: alp=7.812500e-03, f=1.220909e-02, gnorm=3.627734e-01
Iteration 14: alp=9.765625e-04, f=1.215048e-02, gnorm=1.065026e-01
Iteration 15: alp=3.906250e-03, f=1.213481e-02, gnorm=2.235655e-01
Iteration 16: alp=1.953125e-03, f=1.213188e-02, gnorm=2.843418e-01
Iteration 17: alp=9.765625e-04, f=1.209407e-02, gnorm=9.993867e-02
Iteration 18: alp=7.812500e-03, f=1.208266e-02, gnorm=3.657007e-01
Iteration 19: alp=9.765625e-04, f=1.202311e-02, gnorm=1.060973e-01
Iteration 20: alp=3.906250e-03, f=1.200767e-02, gnorm=2.228935e-01
Iteration 21: alp=1.953125e-03, f=1.200474e-02, gnorm=2.831890e-01
Iteration 22: alp=9.765625e-04, f=1.196722e-02, gnorm=9.940920e-02
Iteration 23: alp=7.812500e-03, f=1.195565e-02, gnorm=3.629928e-01
Iteration 24: alp=9.765625e-04, f=1.189694e-02, gnorm=1.054289e-01
Iteration 25: alp=3.906250e-03, f=1.188147e-02, gnorm=2.207032e-01
Iteration 26: alp=1.953125e-03, f=1.187835e-02, gnorm=2.798702e-01
Iteration 27: alp=9.765625e-04, f=1.184158e-02, gnorm=9.862664e-02
Iteration 28: alp=7.812500e-03, f=1.182833e-02, gnorm=3.549732e-01
Iteration 29: alp=9.765625e-04, f=1.177193e-02, gnorm=1.041022e-01
Iteration 30: alp=3.906250e-03, f=1.175570e-02, gnorm=2.141921e-01
Iteration 31: alp=1.953125e-03, f=1.175180e-02, gnorm=2.707734e-01
Iteration 32: alp=9.765625e-04, f=1.171713e-02, gnorm=9.755597e-02
Iteration 33: alp=7.812500e-03, f=1.170070e-02, gnorm=3.418199e-01
Iteration 34: alp=9.765625e-04, f=1.164811e-02, gnorm=1.025862e-01
Iteration 35: alp=3.906250e-03, f=1.163096e-02, gnorm=2.065010e-01
Iteration 36: alp=1.953125e-03, f=1.162618e-02, gnorm=2.599914e-01
Iteration 37: alp=9.765625e-04, f=1.159387e-02, gnorm=9.631243e-02
Iteration 38: alp=7.812500e-03, f=1.157330e-02, gnorm=3.244016e-01
Iteration 39: alp=9.765625e-04, f=1.152545e-02, gnorm=1.006031e-01
Iteration 40: alp=3.906250e-03, f=1.150690e-02, gnorm=1.954260e-01
Iteration 41: alp=1.953125e-03, f=1.150088e-02, gnorm=2.446760e-01
Iteration 42: alp=9.765625e-04, f=1.147178e-02, gnorm=9.490437e-02
Iteration 43: alp=7.812500e-03, f=1.144634e-02, gnorm=3.033295e-01
Iteration 44: alp=9.765625e-04, f=1.140398e-02, gnorm=9.858790e-02
Iteration 45: alp=7.812500e-03, f=1.140017e-02, gnorm=3.781849e-01
Iteration 46: alp=9.765625e-04, f=1.133674e-02, gnorm=1.042492e-01
Iteration 47: alp=3.906250e-03, f=1.132303e-02, gnorm=2.219844e-01
Iteration 48: alp=1.953125e-03, f=1.132050e-02, gnorm=2.803256e-01
Iteration 49: alp=9.765625e-04, f=1.128368e-02, gnorm=9.641876e-02
Iteration 50: alp=7.812500e-03, f=1.127053e-02, gnorm=3.449525e-01
Iteration 51: alp=9.765625e-04, f=1.121697e-02, gnorm=1.008735e-01
Iteration 52: alp=3.906250e-03, f=1.120038e-02, gnorm=2.025897e-01
Iteration 53: alp=1.953125e-03, f=1.119548e-02, gnorm=2.538732e-01
Iteration 54: alp=9.765625e-04, f=1.116454e-02, gnorm=9.426523e-02
Iteration 55: alp=7.812500e-03, f=1.114248e-02, gnorm=3.101280e-01
Iteration 56: alp=9.765625e-04, f=1.109840e-02, gnorm=9.780155e-02
Iteration 57: alp=7.812500e-03, f=1.109694e-02, gnorm=3.802950e-01
Iteration 58: alp=9.765625e-04, f=1.103279e-02, gnorm=1.030381e-01
Iteration 59: alp=3.906250e-03, f=1.101945e-02, gnorm=2.192357e-01
Iteration 60: alp=1.953125e-03, f=1.101679e-02, gnorm=2.759083e-01
